xd582	0.07
xd583	0.05
xd584	0.1
xd585	0.04
xd586	0
xd587	0
xd588	0.03
xd589	2.75
xd590	3.95
xd591	0.02
xd592	0
xd593	0
xd594	0.02
xd595	0
xd596	0
xd597	0
xd598	0
xd599	0.01
xd600	0
xd601	0
xd602	0.02
xd603	0
xd604	0.06
xd605	-0.008
xd607	0.03
xd608	0
xd609	0.04
xd610	0.03
xd611	0.01
xd612	0.01
xd613	0.04
xd614	0.05
xd615	0.02
xd616	0.15
xd617	0.03
xd618	0.07
xd619	0.05
xd620	0.02
xd621	0.24
xd622	0.07
xd623	0.07
xd624	0.06
xd625	0.06
xd626	0.06
xd627	0.06
xd628	0.05
xd629	0.06
xd630	0.06
xd631	0.05
xd632	0.05
xd633	0.05
xd634	0.1
xd635	0.05
xd636	0.05
xd637	0.03
xd638	0
xd639	0.02
xd640	0.01
xd641	0
xd642	0
xd643	0.014
xd644	0.01
xd645	0.01
xd646	0.03
xd647	0.01
xd648	0
xd649	0.03
xd650	0
xd651	0.02
xd652	0.02
xd653	0.01
xd654	0.02
xd655	0.02
xd656	0.03
xd657	0.08
xd658	0
xd659	0.11
xd660	0
xd661	0.01
xd662	0.07
xd663	0.005
xd664	0.01
xd666	0.03
xd667	0.05
xd668	0.01
xd669	0
xd670	0
xd671	0.03
xd672	0.01
xd673	0
xd674	-0.01
xd675	0.01
xd676	0.009
xd677	0.01
xd678	0.07
xd679	0.012
xd680	0.05
xd681	0.02
xd682	0.151
xd683	0.02
xd684	0.01
xd685	0.02
xd686	0.08
xd687	0
xd688	0.05
xd689	0.02
xd690	0.05
xd691	0.06
xd692	0
xd693	0.05
xd694	0.05
xd695	0.02
xd696	0.05
xd697	0.08
xd698	0.04
xd699	0.04
xd700	0.04
xd701	0.03
xd702	0.02
xd703	0.04
xd704	0.05
xd705	0.03
xd706	0.01
xd707	0.03
xd708	0.01
xd709	0
xd710	0.02
xd711	0.01
xd712	0.02
xd713	0.04
xd714	0.05
xd715	0.07
xd716	0.01
xd717	0
xd718	0
xd719	-0.01
xd720	0.01
xd721	-0.01
xd722	0.658
xd723	-0.008
xd724	0.01
xd725	0.03
xd726	0
xd727	0
xd728	0.03
xd729	0
xd730	0.01
xd731	0.01
xd732	0.02
xd733	0.02
xd734	0.02
xd735	0
xd736	-0.01
xd737	0.02
xd738	0.03
xd739	0.04
xd740	0.04
xd741	0
xd742	0
xd743	0.03
xd744	0
xd745	0
xd746	0.02
xd747	0
xd748	0.05
xd749	0.02
xd750	0
xd751	0
xd752	0
xd753	0.02
xd754	0.03
xd755	0.03
xd756	0.03
xd757	0.05
xd758	0
xd759	0.01
xd760	0.04
xd762	-0.001
xd763	0
xd764	0.01
xd765	0
xd766	0.03
xd767	0.04
xd768	0.02
xd769	0.03
xd770	0.06
xd771	0.02
